X,Sample.ID,Region,Ecotype,Wild.Sel,Pop,Lat,Long,Temp,Sal,Pop.ID,Sample.ID.1,Length,Sex,NOTES,wildNtoS,custom.id,color,plot.id,vcfInd,ApproxLat,ApproxLong
77,CLP_6,Chesapeake Bay,Low,W,Chlora's Point,38.6270278,-76.135671,21.4,12.2,CLP,6,102,NA,NA,5,05_ChesBay_CLP,#167729,ChesBay_CLP,12,NA,NA
78,HC_VA_1,Chesapeake Bay,High,W,Hummock Cove,NA,NA,NA,NA,HC_VA,1,52,NA,too small to sex,6,06_ChesBay_HC_VA,#105d1f,ChesBay_HC_VA,31,37.6168333333333,-75.6593333333333
79,HC_VA_2,Chesapeake Bay,High,W,Hummock Cove,NA,NA,NA,NA,HC_VA,2,48,NA,too small to sex,6,06_ChesBay_HC_VA,#105d1f,ChesBay_HC_VA,32,37.6168333333333,-75.6593333333333
80,HC_VA_3,Chesapeake Bay,High,W,Hummock Cove,NA,NA,NA,NA,HC_VA,3,42,NA,too small to sex,6,06_ChesBay_HC_VA,#105d1f,ChesBay_HC_VA,33,37.6168333333333,-75.6593333333333
81,HC_VA_4,Chesapeake Bay,High,W,Hummock Cove,NA,NA,NA,NA,HC_VA,4,60,NA,too small to sex,6,06_ChesBay_HC_VA,#105d1f,ChesBay_HC_VA,34,37.6168333333333,-75.6593333333333
82,HC_VA_5,Chesapeake Bay,High,W,Hummock Cove,NA,NA,NA,NA,HC_VA,5,48,NA,too small to sex,6,06_ChesBay_HC_VA,#105d1f,ChesBay_HC_VA,35,37.6168333333333,-75.6593333333333
83,HC_VA_6,Chesapeake Bay,High,W,Hummock Cove,NA,NA,NA,NA,HC_VA,6,52,NA,too small to sex,6,06_ChesBay_HC_VA,#105d1f,ChesBay_HC_VA,36,37.6168333333333,-75.6593333333333
42,SL_1,Louisiana,NA,W,Sister Lake,NA,NA,NA,NA,SL,1,118,F,RIBBED MUSSELS AND BARNACLES ATTACHED. VERY THICK SHELL W/ THIN WATERY MEATS,7,07_Louisiana_SL,#5d4a36,Louisiana_SL,73,29.2428333333333,-90.9193333333333
43,SL_2,Louisiana,NA,W,Sister Lake,NA,NA,NA,NA,SL,2,160,F,RIBBED MUSSELS AND BARNACLES ATTACHED. VERY THICK SHELL W/ THIN WATERY MEATS,7,07_Louisiana_SL,#5d4a36,Louisiana_SL,74,29.2428333333333,-90.9193333333333
44,SL_3,Louisiana,NA,W,Sister Lake,NA,NA,NA,NA,SL,3,128,F,RIBBED MUSSELS AND BARNACLES ATTACHED. VERY THICK SHELL W/ THIN WATERY MEATS,7,07_Louisiana_SL,#5d4a36,Louisiana_SL,75,29.2428333333333,-90.9193333333333
45,SL_4,Louisiana,NA,W,Sister Lake,NA,NA,NA,NA,SL,4,110,F,RIBBED MUSSELS AND BARNACLES ATTACHED. VERY THICK SHELL W/ THIN WATERY MEATS,7,07_Louisiana_SL,#5d4a36,Louisiana_SL,76,29.2428333333333,-90.9193333333333
46,SL_5,Louisiana,NA,W,Sister Lake,NA,NA,NA,NA,SL,5,112,F,RIBBED MUSSELS AND BARNACLES ATTACHED. VERY THICK SHELL W/ THIN WATERY MEATS,7,07_Louisiana_SL,#5d4a36,Louisiana_SL,77,29.2428333333333,-90.9193333333333
47,SL_6,Louisiana,NA,W,Sister Lake,NA,NA,NA,NA,SL,6,122,F,RIBBED MUSSELS AND BARNACLES ATTACHED. VERY THICK SHELL W/ THIN WATERY MEATS,7,07_Louisiana_SL,#5d4a36,Louisiana_SL,78,29.2428333333333,-90.9193333333333
48,CL_1,Louisiana,NA,W,Calcasieu Lake,NA,NA,NA,NA,CL,1,132,F,a lot of polydora in shell - very ripe,8,08_Louisiana_CL,#8d8072,Louisiana_CL,1,29.9086666666667,-93.2845
49,CL_2,Louisiana,NA,W,Calcasieu Lake,NA,NA,NA,NA,CL,2,116,M,a lot of polydora in shell - very ripe,8,08_Louisiana_CL,#8d8072,Louisiana_CL,2,29.9086666666667,-93.2845
50,CL_3,Louisiana,NA,W,Calcasieu Lake,NA,NA,NA,NA,CL,3,112,F,a lot of polydora in shell - very ripe,8,08_Louisiana_CL,#8d8072,Louisiana_CL,3,29.9086666666667,-93.2845
51,CL_4,Louisiana,NA,W,Calcasieu Lake,NA,NA,NA,NA,CL,4,106,F,a lot of polydora in shell - very ripe,8,08_Louisiana_CL,#8d8072,Louisiana_CL,4,29.9086666666667,-93.2845
52,CL_5,Louisiana,NA,W,Calcasieu Lake,NA,NA,NA,NA,CL,5,121,F,a lot of polydora in shell - very ripe,8,08_Louisiana_CL,#8d8072,Louisiana_CL,5,29.9086666666667,-93.2845
53,CL_6,Louisiana,NA,W,Calcasieu Lake,NA,NA,NA,NA,CL,6,103,F,a lot of polydora in shell - very ripe,8,08_Louisiana_CL,#8d8072,Louisiana_CL,6,29.9086666666667,-93.2845
1,LM_1,Mexico,High,W,Laguna Madre,26.5553333333333,-97.359,28.9,26,LM,1,97,F,NA,9,09_Mexico_LM,#FF00FF,Mexico_LM,46,NA,NA
2,LM_3,Mexico,High,W,Laguna Madre,26.5553333333333,-97.359,28.9,26,LM,3,93,M,NA,9,09_Mexico_LM,#FF00FF,Mexico_LM,47,NA,NA
3,LM_4,Mexico,High,W,Laguna Madre,26.5553333333333,-97.359,28.9,26,LM,4,69,F,NA,9,09_Mexico_LM,#FF00FF,Mexico_LM,48,NA,NA
4,LM_7,Mexico,High,W,Laguna Madre,26.5553333333333,-97.359,28.9,26,LM,7,75,M,NA,9,09_Mexico_LM,#FF00FF,Mexico_LM,49,NA,NA
5,LM_8,Mexico,High,W,Laguna Madre,26.5553333333333,-97.359,28.9,26,LM,8,96,F,NA,9,09_Mexico_LM,#FF00FF,Mexico_LM,50,NA,NA
