latitude,longitude
29.9086666666667,-93.2845
29.9086666666667,-93.2845
29.9086666666667,-93.2845
29.9086666666667,-93.2845
29.9086666666667,-93.2845
29.9086666666667,-93.2845
38.6270278,-76.135671
38.6270278,-76.135671
38.6270278,-76.135671
38.6270278,-76.135671
38.6270278,-76.135671
38.6270278,-76.135671
39.2335,-75.0253333333333
39.2335,-75.0253333333333
39.2335,-75.0253333333333
39.2335,-75.0253333333333
39.2335,-75.0253333333333
39.2335,-75.0253333333333
39.4383333333333,-75.5266666666667
39.4383333333333,-75.5266666666667
39.4383333333333,-75.5266666666667
39.4383333333333,-75.5266666666667
39.4383333333333,-75.5266666666667
39.4383333333333,-75.5266666666667
37.6168333333333,-75.6593333333333
37.6168333333333,-75.6593333333333
37.6168333333333,-75.6593333333333
37.6168333333333,-75.6593333333333
37.6168333333333,-75.6593333333333
37.6168333333333,-75.6593333333333
44.00798,-69.5383466666667
44.00798,-69.5383466666667
44.00798,-69.5383466666667
44.00798,-69.5383466666667
44.00798,-69.5383466666667
44.00798,-69.5383466666667
26.5553333333333,-97.359
26.5553333333333,-97.359
26.5553333333333,-97.359
26.5553333333333,-97.359
26.5553333333333,-97.359
29.2428333333333,-90.9193333333333
29.2428333333333,-90.9193333333333
29.2428333333333,-90.9193333333333
29.2428333333333,-90.9193333333333
29.2428333333333,-90.9193333333333
29.2428333333333,-90.9193333333333
44.0084933333333,-69.59033
44.0084933333333,-69.59033
44.0084933333333,-69.59033
44.0084933333333,-69.59033
44.0084933333333,-69.59033
44.0084933333333,-69.59033
