Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
NEH_3.R2	NEH_3.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	49751381.0	0.0	50-151	36.0	91.96532449459104	150.16770445025435	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
NEH_4.R1	NEH_4.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	55929962.0	0.0	50-151	35.0	88.57651487303727	150.53999201715888	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
NEH_4.R2	NEH_4.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	55929962.0	0.0	50-151	35.0	90.2500600585269	149.4243767946776	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
NEH_5.R1	NEH_5.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30722946.0	0.0	50-151	36.0	93.31014006591033	150.67371862711343	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
NEH_5.R2	NEH_5.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30722946.0	0.0	50-151	36.0	92.82220253440148	150.08926839242565	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
NEH_6.R1	NEH_6.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35285270.0	0.0	50-151	36.0	92.95965553863911	150.67800464613137	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
NEH_6.R2	NEH_6.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35285270.0	0.0	50-151	36.0	92.39487430533828	150.11672128341374	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
NG_NH0H4.R1	NG_NH0H4.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33986984.0	0.0	50-151	35.0	91.78007558148748	150.63073363614728	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
NG_NH0H4.R2	NG_NH0H4.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33986984.0	0.0	50-151	35.0	93.19743363427634	149.83298853466962	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
NG_NH2F6.R1	NG_NH2F6.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30320238.0	0.0	50-151	35.0	91.57345722658343	150.57806943995624	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
NG_NH2F6.R2	NG_NH2F6.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30320238.0	0.0	50-151	35.0	92.3964083100667	149.7463071365073	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
NG_NH2F8.R1	NG_NH2F8.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32269669.0	0.0	50-151	35.0	91.04792093901139	150.55506599711327	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
NG_NH2F8.R2	NG_NH2F8.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32269669.0	0.0	50-151	36.0	92.11530681005284	149.59121697219763	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
NG_NH2M1.R1	NG_NH2M1.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38022819.0	0.0	50-151	35.0	90.57524854244969	150.55654511045066	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
NG_NH2M1.R2	NG_NH2M1.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38022819.0	0.0	50-151	36.0	91.51965242368345	149.6112676969059	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
OBOYS2_1.R1	OBOYS2_1.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30875827.0	0.0	50-151	35.0	94.22763088955878	150.71364987243905	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
OBOYS2_1.R2	OBOYS2_1.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30875827.0	0.0	50-151	35.0	94.90947104589446	150.24815425996525	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
OBOYS2_2.R1	OBOYS2_2.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33638026.0	0.0	50-151	35.0	93.64588752948355	150.71073064751184	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
OBOYS2_2.R2	OBOYS2_2.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33638026.0	0.0	50-151	35.0	94.55334008015225	150.22410137860052	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
OBOYS2_3.R1	OBOYS2_3.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39774296.0	0.0	50-151	35.0	92.33097560069955	150.64380571311682	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
OBOYS2_3.R2	OBOYS2_3.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39774296.0	0.0	50-151	36.0	93.50084253049553	149.9061262077398	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
OBOYS2_4.R1	OBOYS2_4.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27366126.0	0.0	50-151	36.0	93.28220138959878	150.68021586248634	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
OBOYS2_4.R2	OBOYS2_4.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27366126.0	0.0	50-151	36.0	94.74797200140821	149.97969701666943	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
OBOYS2_5.R1	OBOYS2_5.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34189494.0	0.0	50-151	35.0	93.8040235688409	150.71867846303897	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
OBOYS2_5.R2	OBOYS2_5.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34189494.0	0.0	50-151	35.0	94.59490920752307	150.2409420858934	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
OBOYS2_6.R1	OBOYS2_6.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	50962220.0	0.0	50-151	35.0	93.01943598644556	150.70449976472767	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
OBOYS2_6.R2	OBOYS2_6.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	50962220.0	0.0	50-151	35.0	93.53327849413688	150.24534692562452	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
SL_1.R1	SL_1.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	42709199.0	0.0	50-151	35.0	92.54797309527903	150.70435795342357	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
SL_1.R2	SL_1.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	42709199.0	0.0	50-151	35.0	93.72944891207497	150.11696222633444	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
SL_2.R1	SL_2.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28554905.0	0.0	50-151	35.0	94.23942424403295	150.70732891599533	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
SL_2.R2	SL_2.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28554905.0	0.0	50-151	35.0	95.08857055382039	150.14496948948	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
SL_3.R1	SL_3.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	45027490.0	0.0	50-151	35.0	93.50277077058006	150.71271634283858	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
SL_3.R2	SL_3.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	45027490.0	0.0	50-151	35.0	94.08147481489989	150.263145513996	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
SL_4.R1	SL_4.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29433247.0	0.0	50-151	35.0	94.04416029963517	150.70740740904324	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
SL_4.R2	SL_4.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29433247.0	0.0	50-151	35.0	94.81061898563738	150.23838141269295	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
SL_5.R1	SL_5.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	48039956.0	0.0	50-151	35.0	91.72312584823422	150.7044983763099	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
SL_5.R2	SL_5.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	48039956.0	0.0	50-151	35.0	92.92350230012555	150.1405137007203	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
SL_6.R1	SL_6.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36766176.0	0.0	50-151	35.0	92.85461677152334	150.6931765490107	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
SL_6.R2	SL_6.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36766176.0	0.0	50-151	35.0	94.14318397965312	150.04776882425847	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
SM_10.R1	SM_10.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	40283165.0	0.0	50-151	35.0	92.33972056226105	150.70553304339418	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
SM_10.R2	SM_10.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	40283165.0	0.0	50-151	35.0	93.48624864316896	150.15449503533299	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
SM_11.R1	SM_11.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30402284.0	0.0	50-151	35.0	90.41793737118147	150.6891963774827	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
SM_11.R2	SM_11.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30402284.0	0.0	50-151	35.0	91.77666103386424	150.08806614660924	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
SM_12.R1	SM_12.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34424522.0	0.0	50-151	35.0	92.62759302502879	150.7130030737972	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
SM_12.R2	SM_12.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34424522.0	0.0	50-151	35.0	93.76875379481126	150.16353031713845	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
SM_7.R1	SM_7.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	45563336.0	0.0	50-151	35.0	91.75876275741258	150.7162107489232	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
SM_7.R2	SM_7.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	45563336.0	0.0	50-151	35.0	92.88235459339957	150.22716528043512	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
SM_8.R1	SM_8.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34457222.0	0.0	50-151	35.0	92.58980029685836	150.70931150514687	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
SM_8.R2	SM_8.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34457222.0	0.0	50-151	35.0	93.65061026857653	150.1496970939793	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
SM_9.R1	SM_9.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34122922.0	0.0	50-151	35.0	93.39194767901027	150.70460695013165	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
SM_9.R2	SM_9.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34122922.0	0.0	50-151	35.0	94.35651429044886	150.1619477663724	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
UMFS_1.R1	UMFS_1.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30432620.0	0.0	50-151	37.0	92.57210637535054	150.65286600365002	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
UMFS_1.R2	UMFS_1.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30432620.0	0.0	50-151	37.0	92.00467706742543	150.06565267794886	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
UMFS_2.R1	UMFS_2.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36015481.0	0.0	50-151	35.0	93.61016669321575	150.71438779340474	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
UMFS_2.R2	UMFS_2.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36015481.0	0.0	50-151	35.0	92.65793101550217	150.2595132354334	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
UMFS_3.R1	UMFS_3.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	47884703.0	0.0	50-151	35.0	94.06841723149901	150.71732851720935	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
UMFS_3.R2	UMFS_3.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	47884703.0	0.0	50-151	35.0	93.1086348612323	150.19429820834432	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
UMFS_4.R1	UMFS_4.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44730271.0	0.0	50-151	35.0	90.07003506702962	150.57342257103696	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
UMFS_4.R2	UMFS_4.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44730271.0	0.0	50-151	35.0	91.18291910696475	149.6718692806489	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
UMFS_5.R1	UMFS_5.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34386975.0	0.0	50-151	36.0	90.37049310073361	150.55995789103287	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
UMFS_5.R2	UMFS_5.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34386975.0	0.0	50-151	36.0	92.84638944939667	149.43185243831422	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
UMFS_6.R1	UMFS_6.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35121362.0	0.0	50-151	35.0	91.13671389434545	150.5978904234978	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
UMFS_6.R2	UMFS_6.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35121362.0	0.0	50-151	35.0	93.42519513533749	149.60166109161713	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
