Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
CS_2.R2	CS_2.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34994916.0	0.0	50-151	35.0	93.61487485110385	149.48769629851375	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
CS_3.R1	CS_3.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32855317.0	0.0	50-151	35.0	91.3345253647707	150.60315519098478	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
CS_3.R2	CS_3.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32855317.0	0.0	50-151	35.0	93.40078732456006	149.6845424745103	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
CS_5.R1	CS_5.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36029374.0	0.0	50-151	35.0	90.95715069150104	150.5933513305005	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
CS_5.R2	CS_5.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36029374.0	0.0	50-151	35.0	92.88055814568769	149.68471697565437	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
CS_6.R1	CS_6.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30723583.0	0.0	50-151	35.0	94.16056363475063	150.71135619175666	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
CS_6.R2	CS_6.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30723583.0	0.0	50-151	35.0	93.89801110223439	150.03349635359913	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
CS_7.R1	CS_7.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33046870.0	0.0	50-151	35.0	91.47764307719792	150.60175608158957	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
CS_7.R2	CS_7.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33046870.0	0.0	50-151	35.0	93.4587920669893	149.70550984102277	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
DEBY_1.R1	DEBY_1.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33955985.0	0.0	50-151	35.0	92.48224276623233	150.6797542465636	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
DEBY_1.R2	DEBY_1.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33955985.0	0.0	50-151	36.0	93.92415835410992	149.96239623147437	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
DEBY_2.R1	DEBY_2.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29602712.0	0.0	50-151	36.0	92.55910151997197	150.62773319552613	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
DEBY_2.R2	DEBY_2.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29602712.0	0.0	50-151	36.0	94.16347009395662	149.85294995944966	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
DEBY_3.R1	DEBY_3.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	42695564.0	0.0	50-151	35.0	92.96240420440047	150.68272750771015	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
DEBY_3.R2	DEBY_3.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	42695564.0	0.0	50-151	36.0	93.53107962398465	150.20387038334943	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
DEBY_4.R1	DEBY_4.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26594192.0	0.0	50-151	35.0	91.56658490965974	150.52997759811615	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
DEBY_4.R2	DEBY_4.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26594192.0	0.0	50-151	36.0	92.73888989970426	149.2814934554131	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
DEBY_5.R1	DEBY_5.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32233110.0	0.0	50-151	35.0	93.80103034654407	150.70922768544517	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
DEBY_5.R2	DEBY_5.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32233110.0	0.0	50-151	35.0	94.60572584360972	150.19663045235163	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
DEBY_6.R1	DEBY_6.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33569942.0	0.0	50-151	35.0	90.83261353032923	150.54117513816377	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
DEBY_6.R2	DEBY_6.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33569942.0	0.0	50-151	36.0	91.88910292771912	149.41439714134745	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
HC_1.R1	HC_1.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	37201303.0	0.0	50-151	35.0	93.73963877961216	150.71322423840905	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
HC_1.R2	HC_1.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	37201303.0	0.0	50-151	35.0	93.20059600085334	150.06600155913893	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
HC_3.R1	HC_3.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30260134.0	0.0	50-151	35.0	94.2233908656793	150.71996594595385	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
HC_3.R2	HC_3.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30260134.0	0.0	50-151	35.0	93.91969454412238	150.155689925233	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
HC_4.R1	HC_4.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38367973.0	0.0	50-151	35.0	94.10270833379887	150.71481295089526	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
HC_4.R2	HC_4.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38367973.0	0.0	50-151	35.0	93.46216276837812	150.12666460122873	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
HC_5.R1	HC_5.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	43583073.0	0.0	50-151	35.0	90.3221397969547	150.59244420419827	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
HC_5.R2	HC_5.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	43583073.0	0.0	50-151	35.0	92.41168294089951	149.50747669857975	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
HC_6.R1	HC_6.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26975069.0	0.0	50-151	35.0	94.4965049336967	150.71694144693384	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
HC_6.R2	HC_6.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26975069.0	0.0	50-151	35.0	94.29218962073604	150.12045741199032	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
HC_7.R1	HC_7.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	74697989.0	0.0	50-151	36.0	87.57755421290686	150.5429796108701	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
HC_7.R2	HC_7.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	74697989.0	0.0	50-151	36.0	89.68023236864123	149.28111290921098	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
HC_VA_1.R1	HC_VA_1.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41730579.0	0.0	50-151	35.0	90.73310785746442	150.5481639495105	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
