,X,Sample.ID,vcf_ID,vcf_order,Region,Ecotype,Wild.Sel,Pop,Temp,Sal,Pop.ID,Sample.ID.1,Length,Sex,NOTES,wildNtoS,custom.id,color,plot.id,atlantic.wild.subset,atlantic.selection.subset,exclude.LM,unrelated,envi.assoc
30,11,HC_7,HC_7,30,DelBay,Low,W,Hope Creek,23.7,11.1,HC,7,80,NA,no gonad - salnity ranges from 5-12 ppt - temp from 4-26,3,03_DelBay_HC,#6ee078,DelBay_HC,1,0,1,1,1
31,78,HC_VA_1,HC_VA_1,31,Chesapeake Bay,High,W,Hummock Cove,NA,NA,HC_VA,1,52,NA,too small to sex,6,06_ChesBay_HC_VA,#105d1f,ChesBay_HC_VA,1,0,1,1,1
32,79,HC_VA_2,HC_VA_2,32,Chesapeake Bay,High,W,Hummock Cove,NA,NA,HC_VA,2,48,NA,too small to sex,6,06_ChesBay_HC_VA,#105d1f,ChesBay_HC_VA,1,0,1,1,1
33,80,HC_VA_3,HC_VA_3,33,Chesapeake Bay,High,W,Hummock Cove,NA,NA,HC_VA,3,42,NA,too small to sex,6,06_ChesBay_HC_VA,#105d1f,ChesBay_HC_VA,1,0,1,1,1
34,81,HC_VA_4,HC_VA_4,34,Chesapeake Bay,High,W,Hummock Cove,NA,NA,HC_VA,4,60,NA,too small to sex,6,06_ChesBay_HC_VA,#105d1f,ChesBay_HC_VA,1,0,1,1,1
35,82,HC_VA_5,HC_VA_5,35,Chesapeake Bay,High,W,Hummock Cove,NA,NA,HC_VA,5,48,NA,too small to sex,6,06_ChesBay_HC_VA,#105d1f,ChesBay_HC_VA,1,0,1,1,1
36,83,HC_VA_6,HC_VA_6,36,Chesapeake Bay,High,W,Hummock Cove,NA,NA,HC_VA,6,52,NA,too small to sex,6,06_ChesBay_HC_VA,#105d1f,ChesBay_HC_VA,1,0,1,1,1
37,84,HG_HG0F2,HG_HG0F2,37,RU Inbred,NA,I,RU Inbred,NA,NA,HG,HG0F2,NA,F,parent - female,NA,19_Inbred_RU_HG,#ff1818,Inbred_RU_HG,0,0,1,1,0
38,85,HG_HG2F1,HG_HG2F1,38,RU Inbred,NA,I,RU Inbred,NA,NA,HG,HG2F1,NA,F,gynogenetic progeny - female,NA,19_Inbred_RU_HG,#ff1818,Inbred_RU_HG,0,0,1,0,0
39,86,HG_HG2M5,HG_HG2M5,39,RU Inbred,NA,I,RU Inbred,NA,NA,HG,HG2M5,NA,M,gynogenetic progeny - male,NA,19_Inbred_RU_HG,#ff1818,Inbred_RU_HG,0,0,1,0,0
